"Gender","Customer Type","Age","Type of Travel","Class","Flight Distance","Inflight wifi service","Departure/Arrival time convenient","Ease of Online booking","Gate location","Food and drink","Online boarding","Seat comfort","Inflight entertainment","On-board service","Leg room service","Baggage handling","Checkin service","Inflight service","Cleanliness","Departure Delay in Minutes","Arrival Delay in Minutes","satisfaction"
"Male","disloyal Customer",39,"Business travel","Business",849,"4","3","3","4","4","3","4","4","3","5","5","5","5","4",13,15,"satisfied"
"Female","Loyal Customer",36,"Business travel","Business",1088,"5","5","5","5","2","2","4","5","5","5","5","3","5","2",0,0,"satisfied"
"Female","disloyal Customer",34,"Business travel","Business",1546,"1","1","1","4","5","1","5","5","4","4","4","5","5","5",7,0,"neutral or dissatisfied"
"Female","Loyal Customer",55,"Business travel","Business",229,"3","3","3","3","3","1","1","3","3","3","3","1","3","1",72,87,"neutral or dissatisfied"
"Male","Loyal Customer",7,"Business travel","Business",1076,"3","5","5","5","3","3","3","3","1","5","4","4","3","3",9,7,"neutral or dissatisfied"
"Female","Loyal Customer",35,"Business travel","Eco",77,"1","5","5","5","1","1","1","1","3","5","3","1","3","1",0,10,"neutral or dissatisfied"
"Male","Loyal Customer",39,"Personal Travel","Eco",337,"1","5","1","3","1","1","1","1","1","2","2","2","3","1",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",80,"Business travel","Business",525,"2","2","2","4","4","4","3","3","3","2","3","3","3","2",11,19,"neutral or dissatisfied"
"Male","Loyal Customer",49,"Personal Travel","Eco",342,"3","4","3","3","4","3","4","4","3","4","5","5","5","4",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",47,"Business travel","Business",1041,"3","5","5","5","4","3","3","3","3","3","3","2","3","4",0,17,"neutral or dissatisfied"
"Female","Loyal Customer",48,"Business travel","Business",3431,"3","1","1","1","1","4","3","3","3","3","3","1","3","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",44,"Personal Travel","Eco",86,"2","4","2","3","2","2","2","2","3","3","4","5","4","2",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",25,"Business travel","Eco",1371,"3","3","3","3","4","3","4","4","1","2","4","1","3","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",45,"Business travel","Eco",337,"2","5","4","5","2","4","3","2","2","2","2","4","2","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",51,"Personal Travel","Eco",2521,"2","4","2","4","2","1","1","3","3","3","4","1","4","1",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",33,"Business travel","Business",429,"3","3","3","3","1","3","1","1","3","3","4","5","5","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",43,"Business travel","Business",557,"2","2","2","2","3","5","4","4","4","4","4","3","4","5",0,9,"satisfied"
"Female","Loyal Customer",70,"Business travel","Eco",134,"3","1","1","1","2","3","3","3","3","3","3","2","3","4",15,19,"neutral or dissatisfied"
"Male","Loyal Customer",53,"Personal Travel","Eco",590,"2","1","2","3","4","2","4","4","4","4","4","1","4","4",52,43,"neutral or dissatisfied"
"Male","Loyal Customer",44,"Business travel","Business",2528,"4","4","4","4","4","5","4","5","5","5","4","5","5","3",5,0,"satisfied"
"Male","Loyal Customer",26,"Business travel","Business",3265,"2","1","1","1","2","2","2","2","4","3","3","3","3","2",15,17,"neutral or dissatisfied"
"Female","Loyal Customer",59,"Business travel","Business",304,"1","1","1","1","1","2","4","4","4","4","4","1","4","5",0,0,"satisfied"
"Male","Loyal Customer",50,"Business travel","Business",3004,"1","1","1","1","3","4","5","4","4","4","4","4","4","3",90,70,"satisfied"
"Male","Loyal Customer",8,"Personal Travel","Eco Plus",404,"3","3","3","3","3","3","3","3","1","1","4","4","4","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",38,"Business travel","Business",1691,"2","2","2","2","3","1","3","5","5","5","5","3","5","5",0,0,"satisfied"
"Male","Loyal Customer",42,"Business travel","Business",2752,"5","5","5","5","2","5","5","4","4","4","4","5","4","4",11,1,"satisfied"
"Male","Loyal Customer",15,"Business travel","Eco Plus",550,"4","5","4","5","4","4","3","4","2","3","4","4","3","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",45,"Business travel","Business",3089,"4","5","4","4","2","4","4","5","5","5","5","4","5","2",0,0,"satisfied"
"Female","Loyal Customer",37,"Business travel","Eco",160,"5","4","4","4","5","5","5","5","3","2","4","3","5","5",0,0,"satisfied"
"Male","Loyal Customer",20,"Personal Travel","Eco",1034,"4","5","4","4","4","4","4","4","4","4","4","5","4","4",0,25,"neutral or dissatisfied"
"Male","Loyal Customer",44,"Business travel","Business",1197,"2","2","2","2","1","3","4","2","2","2","2","4","2","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",38,"Business travel","Business",3461,"0","4","0","2","5","5","5","2","2","2","2","5","2","5",45,36,"satisfied"
"Female","Loyal Customer",27,"Personal Travel","Eco",2248,"3","5","3","4","3","5","5","4","3","4","5","5","4","5",157,149,"neutral or dissatisfied"
"Male","Loyal Customer",25,"Business travel","Business",3933,"1","1","1","1","5","5","5","5","5","5","5","3","5","5",7,4,"satisfied"
"Male","Loyal Customer",13,"Personal Travel","Eco",853,"2","5","2","4","5","2","4","5","4","2","5","4","5","5",19,7,"neutral or dissatisfied"
"Male","Loyal Customer",37,"Business travel","Business",3668,"1","3","3","3","1","3","3","1","1","1","1","4","1","3",11,19,"neutral or dissatisfied"
"Female","Loyal Customer",30,"Personal Travel","Eco",786,"3","4","3","2","5","3","3","5","4","3","4","3","4","5",1,0,"neutral or dissatisfied"
"Female","Loyal Customer",26,"Business travel","Eco Plus",1189,"4","3","3","3","4","5","4","4","4","4","1","3","1","4",0,0,"satisfied"
"Male","Loyal Customer",49,"Business travel","Eco",383,"3","2","2","2","3","3","3","3","1","1","1","3","2","3",0,37,"neutral or dissatisfied"
"Female","disloyal Customer",28,"Business travel","Eco",362,"2","2","2","3","2","2","2","2","2","1","3","4","3","2",11,1,"neutral or dissatisfied"
"Male","Loyal Customer",51,"Business travel","Eco",214,"2","4","4","4","1","2","1","1","2","3","4","2","4","1",0,5,"neutral or dissatisfied"
"Female","disloyal Customer",26,"Business travel","Business",303,"2","0","2","2","4","2","4","4","5","2","4","5","4","4",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",30,"Business travel","Eco Plus",401,"3","3","3","4","3","3","3","3","3","3","3","1","4","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",30,"Business travel","Eco",2475,"4","2","2","2","4","4","4","1","2","4","4","4","1","4",0,3,"neutral or dissatisfied"
"Female","disloyal Customer",22,"Business travel","Eco",511,"2","0","2","4","1","2","1","1","5","4","4","3","4","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",51,"Personal Travel","Eco",247,"1","5","1","4","5","4","4","2","2","1","2","5","2","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",20,"Business travel","Business",1111,"2","1","1","1","2","2","2","2","3","3","3","3","4","2",89,71,"neutral or dissatisfied"
"Female","Loyal Customer",40,"Personal Travel","Eco",836,"2","5","2","4","3","2","3","3","3","3","4","3","4","3",1,0,"neutral or dissatisfied"
"Male","Loyal Customer",41,"Business travel","Business",1514,"4","4","4","4","2","5","5","4","4","4","4","4","4","4",31,27,"satisfied"
"Male","disloyal Customer",37,"Business travel","Eco",202,"3","0","3","4","4","3","3","4","2","2","5","2","2","4",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",23,"Personal Travel","Eco",280,"1","4","1","4","4","1","4","4","1","2","4","1","3","4",39,30,"neutral or dissatisfied"
"Female","disloyal Customer",27,"Business travel","Eco",241,"3","0","3","2","3","3","2","3","5","2","1","1","3","3",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",30,"Business travel","Eco",972,"1","1","1","3","4","1","4","4","4","5","3","3","4","4",15,19,"neutral or dissatisfied"
"Male","Loyal Customer",16,"Personal Travel","Eco",2586,"3","2","3","3","3","3","5","2","4","2","4","5","3","5",1,0,"neutral or dissatisfied"
"Male","Loyal Customer",45,"Personal Travel","Eco",670,"2","5","2","2","3","2","3","3","4","2","4","4","5","3",11,1,"neutral or dissatisfied"
"Female","Loyal Customer",59,"Personal Travel","Eco Plus",197,"3","5","3","2","3","4","3","5","5","3","1","2","5","1",7,0,"neutral or dissatisfied"
"Male","disloyal Customer",22,"Business travel","Eco",589,"1","0","1","3","5","1","5","5","3","5","5","4","5","5",14,12,"neutral or dissatisfied"
"Female","Loyal Customer",46,"Business travel","Business",867,"2","2","2","2","4","3","4","2","2","2","2","4","2","3",0,13,"neutral or dissatisfied"
"Female","Loyal Customer",51,"Business travel","Business",1864,"3","3","3","3","4","5","4","4","4","4","4","5","4","3",5,10,"satisfied"
"Female","Loyal Customer",53,"Business travel","Business",441,"1","1","1","1","4","5","5","3","3","3","3","3","3","3",5,3,"satisfied"
"Female","disloyal Customer",40,"Business travel","Business",405,"2","2","2","4","3","2","3","3","5","2","5","5","4","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",21,"Personal Travel","Eco Plus",1990,"0","2","0","3","5","2","5","5","3","1","3","2","4","5",27,8,"satisfied"
"Male","Loyal Customer",32,"Business travel","Business",1497,"3","3","3","3","5","5","5","5","5","4","5","3","5","5",33,19,"satisfied"
"Female","Loyal Customer",46,"Business travel","Business",1773,"4","4","4","4","5","5","5","4","4","4","4","3","4","4",2,0,"satisfied"
"Male","Loyal Customer",70,"Personal Travel","Eco",719,"1","4","1","3","5","1","5","5","4","5","5","5","4","5",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",61,"Business travel","Eco Plus",533,"4","4","3","4","1","1","5","4","4","4","4","3","4","2",0,0,"satisfied"
"Male","Loyal Customer",51,"Personal Travel","Eco",158,"3","5","3","4","1","3","2","1","5","3","5","5","5","1",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",58,"Business travel","Business",328,"2","2","2","2","2","4","5","4","4","4","4","5","4","3",0,0,"satisfied"
"Female","Loyal Customer",25,"Business travel","Business",859,"3","3","3","3","3","3","3","3","4","3","5","4","5","3",42,18,"satisfied"
"Male","Loyal Customer",58,"Personal Travel","Eco",993,"1","4","1","5","4","1","4","4","3","2","5","5","5","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",34,"Business travel","Business",1511,"2","2","2","2","1","5","3","4","4","4","4","3","4","3",1,64,"satisfied"
"Male","Loyal Customer",40,"Business travel","Eco",135,"3","2","2","2","3","3","3","3","2","1","3","1","4","3",0,54,"neutral or dissatisfied"
"Male","Loyal Customer",39,"Business travel","Eco",404,"4","5","5","5","4","4","4","4","3","2","1","4","4","4",0,0,"satisfied"
"Female","Loyal Customer",42,"Personal Travel","Eco",147,"3","5","3","3","3","4","5","4","4","3","4","3","4","4",5,0,"neutral or dissatisfied"
"Female","Loyal Customer",50,"Business travel","Business",3881,"2","2","2","2","4","4","4","5","5","5","5","5","5","4",0,0,"satisfied"
"Male","Loyal Customer",37,"Business travel","Business",3570,"4","5","4","4","4","5","4","5","5","5","5","3","5","5",0,0,"satisfied"
"Male","Loyal Customer",33,"Business travel","Eco Plus",280,"2","1","1","1","2","2","2","2","4","5","3","1","4","2",100,82,"neutral or dissatisfied"
"Male","Loyal Customer",22,"Business travel","Business",1522,"3","2","2","2","3","3","3","3","4","4","2","1","2","3",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",25,"Business travel","Business",271,"5","0","5","4","2","5","2","2","3","2","4","4","4","2",0,5,"satisfied"
"Female","Loyal Customer",49,"Business travel","Business",591,"2","2","2","2","4","4","5","5","5","5","5","3","5","2",11,5,"satisfied"
"Male","Loyal Customer",30,"Personal Travel","Eco",912,"2","4","2","3","2","2","2","2","5","4","5","3","4","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",33,"Business travel","Business",3010,"5","5","5","5","3","5","5","3","3","3","3","4","3","3",0,0,"satisfied"
"Male","Loyal Customer",47,"Business travel","Business",1646,"5","5","5","5","5","5","5","5","5","5","5","4","5","3",0,0,"satisfied"
"Female","disloyal Customer",22,"Business travel","Eco",647,"1","3","1","3","3","1","3","3","2","2","3","3","3","3",3,0,"neutral or dissatisfied"
"Male","Loyal Customer",56,"Personal Travel","Eco",695,"3","4","3","3","5","3","5","5","4","2","5","3","5","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",55,"Business travel","Business",435,"3","3","2","3","5","5","4","5","5","5","5","3","5","4",0,0,"satisfied"
"Female","disloyal Customer",39,"Business travel","Business",1017,"2","2","2","4","3","2","3","3","5","5","5","4","4","3",101,92,"satisfied"
"Female","disloyal Customer",36,"Business travel","Business",577,"1","1","1","4","2","1","2","2","2","3","3","4","3","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",44,"Personal Travel","Eco",272,"2","0","2","3","2","4","5","4","4","2","4","3","4","4",0,1,"neutral or dissatisfied"
"Male","disloyal Customer",26,"Business travel","Business",794,"3","4","4","3","5","4","3","5","2","2","3","3","3","5",14,71,"neutral or dissatisfied"
"Male","disloyal Customer",22,"Business travel","Eco",255,"4","0","4","2","3","4","1","3","3","3","4","3","4","3",24,19,"satisfied"
"Female","Loyal Customer",65,"Business travel","Business",2457,"3","3","3","3","2","3","5","4","4","4","4","3","4","1",1,0,"satisfied"
"Male","Loyal Customer",48,"Business travel","Business",569,"1","1","1","1","2","2","5","4","4","3","4","3","4","1",0,0,"satisfied"
"Female","disloyal Customer",25,"Business travel","Eco",957,"2","2","2","3","2","2","2","2","3","1","4","3","3","2",58,71,"neutral or dissatisfied"
"Male","Loyal Customer",12,"Personal Travel","Eco",550,"2","4","2","4","2","2","2","2","4","1","3","1","4","2",0,1,"neutral or dissatisfied"
"Male","disloyal Customer",23,"Business travel","Eco",612,"5","0","5","1","2","5","2","2","3","3","4","2","2","2",0,0,"satisfied"
"Female","Loyal Customer",25,"Business travel","Business",2199,"5","5","5","5","2","2","2","2","4","5","4","3","4","2",0,0,"satisfied"
"Female","Loyal Customer",18,"Personal Travel","Eco",409,"1","3","1","3","2","1","4","2","4","4","3","5","3","2",0,5,"neutral or dissatisfied"
"Female","Loyal Customer",38,"Business travel","Business",802,"4","4","4","4","1","5","2","5","5","5","5","4","5","3",0,0,"satisfied"
"Female","Loyal Customer",66,"Personal Travel","Eco",214,"1","0","1","4","5","5","5","5","5","1","3","5","5","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",62,"Business travel","Eco",991,"3","3","3","3","3","3","3","3","1","5","4","3","3","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",53,"Business travel","Eco Plus",1250,"3","3","3","3","3","3","3","3","4","3","5","2","4","3",11,0,"satisfied"
"Female","disloyal Customer",28,"Business travel","Eco",733,"1","1","1","3","1","1","3","3","1","4","3","3","2","3",0,13,"neutral or dissatisfied"
"Female","Loyal Customer",42,"Business travel","Business",304,"1","1","1","1","3","4","5","4","4","4","4","4","4","5",0,0,"satisfied"
"Male","Loyal Customer",59,"Personal Travel","Eco",201,"5","1","5","4","2","5","1","2","1","4","3","2","3","2",31,29,"satisfied"
"Female","Loyal Customer",28,"Business travel","Business",1990,"3","3","3","3","4","4","4","4","5","3","4","4","4","4",0,0,"satisfied"
"Female","Loyal Customer",43,"Business travel","Eco",74,"4","5","5","5","4","4","3","4","4","4","4","4","4","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",49,"Business travel","Eco Plus",524,"4","2","2","2","4","4","4","4","2","3","4","3","3","4",13,9,"neutral or dissatisfied"
"Male","Loyal Customer",34,"Business travel","Business",1965,"1","1","1","1","3","5","5","3","3","3","3","5","3","3",0,48,"satisfied"
"Male","Loyal Customer",29,"Business travel","Business",501,"3","3","3","3","5","5","5","5","3","5","5","5","5","5",0,5,"satisfied"
"Female","Loyal Customer",43,"Personal Travel","Eco",500,"3","5","3","4","4","4","5","2","2","3","2","5","2","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",40,"Business travel","Business",2391,"3","3","3","3","4","4","4","5","3","3","2","4","5","4",4,5,"satisfied"
"Female","Loyal Customer",17,"Business travel","Business",850,"4","4","4","4","5","5","5","5","5","4","4","3","5","5",11,4,"satisfied"
"Female","Loyal Customer",48,"Personal Travel","Eco",650,"1","5","1","1","2","3","5","1","1","1","2","1","1","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",23,"Personal Travel","Eco",1180,"3","4","3","4","1","3","1","1","3","5","5","5","4","1",20,2,"neutral or dissatisfied"
"Female","Loyal Customer",23,"Personal Travel","Business",784,"2","1","2","4","3","2","3","3","4","4","4","4","3","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",50,"Business travel","Eco",421,"4","5","5","5","4","4","4","4","1","4","3","5","5","4",0,13,"satisfied"
"Male","Loyal Customer",31,"Business travel","Business",3737,"5","5","5","5","4","4","4","4","2","2","3","4","3","4",70,59,"satisfied"
"Male","disloyal Customer",31,"Business travel","Business",1164,"1","1","1","3","1","1","1","1","3","2","3","1","2","1",4,0,"neutral or dissatisfied"
"Male","Loyal Customer",34,"Business travel","Eco Plus",1362,"3","4","4","4","3","2","3","3","1","3","4","3","3","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",24,"Business travel","Business",1778,"2","1","1","1","2","2","2","2","3","3","4","1","3","2",39,22,"neutral or dissatisfied"
"Male","Loyal Customer",38,"Business travel","Eco",299,"3","4","2","2","3","4","3","3","5","2","3","3","1","3",49,61,"satisfied"
"Male","disloyal Customer",23,"Business travel","Eco",373,"2","4","2","3","2","2","2","2","3","4","5","3","2","2",58,58,"neutral or dissatisfied"
"Male","Loyal Customer",13,"Personal Travel","Business",554,"4","4","4","1","1","4","2","1","5","4","4","4","4","1",0,12,"satisfied"
"Male","Loyal Customer",59,"Business travel","Business",3310,"4","4","4","4","4","4","5","4","4","5","4","5","4","4",4,6,"satisfied"
"Female","Loyal Customer",50,"Personal Travel","Eco",106,"5","2","5","3","3","4","4","2","2","5","2","1","2","2",0,0,"satisfied"
"Female","Loyal Customer",61,"Personal Travel","Eco",723,"3","3","3","4","1","5","2","4","4","3","4","1","4","4",6,27,"neutral or dissatisfied"
"Male","Loyal Customer",32,"Business travel","Business",534,"3","3","3","3","5","5","5","5","1","4","4","4","1","5",49,55,"satisfied"
"Female","Loyal Customer",49,"Business travel","Eco",762,"5","3","3","3","2","1","5","5","5","5","5","2","5","5",16,3,"satisfied"
"Male","Loyal Customer",58,"Business travel","Business",1590,"5","5","5","5","2","3","5","4","4","4","4","3","4","3",29,7,"satisfied"
"Male","Loyal Customer",14,"Personal Travel","Business",1674,"1","3","1","3","3","1","4","3","4","4","3","2","3","3",42,91,"neutral or dissatisfied"
"Female","Loyal Customer",24,"Business travel","Business",501,"1","1","1","1","4","4","4","4","5","4","5","3","5","4",59,70,"satisfied"
"Male","Loyal Customer",44,"Business travel","Eco",1012,"1","2","1","2","1","1","1","2","4","2","3","1","1","1",256,257,"neutral or dissatisfied"
"Male","disloyal Customer",22,"Business travel","Eco",846,"3","3","3","2","1","3","1","1","4","3","2","4","3","1",0,11,"neutral or dissatisfied"
"Male","Loyal Customer",38,"Business travel","Business",3867,"5","5","1","5","4","5","5","4","4","4","4","4","4","3",0,13,"satisfied"
"Female","Loyal Customer",55,"Business travel","Eco",1172,"4","2","4","2","2","2","3","4","4","4","4","1","4","1",4,0,"satisfied"
"Male","Loyal Customer",32,"Personal Travel","Eco",1463,"3","4","3","3","2","3","2","2","1","4","4","2","3","2",122,125,"neutral or dissatisfied"
"Male","Loyal Customer",55,"Business travel","Business",3834,"2","2","2","2","4","3","2","5","5","5","5","1","5","5",0,0,"satisfied"
"Male","Loyal Customer",30,"Business travel","Business",1970,"5","5","5","5","5","5","5","5","4","4","5","3","5","5",0,0,"satisfied"
"Male","Loyal Customer",35,"Personal Travel","Eco",83,"4","5","4","3","4","4","4","4","3","4","4","4","4","4",11,0,"neutral or dissatisfied"
"Male","Loyal Customer",52,"Personal Travel","Eco",372,"2","5","2","2","1","2","1","1","5","3","4","3","4","1",12,6,"neutral or dissatisfied"
"Female","Loyal Customer",26,"Business travel","Business",3438,"4","1","1","1","4","4","4","3","5","3","4","4","3","4",117,197,"neutral or dissatisfied"
"Male","Loyal Customer",55,"Business travel","Business",2475,"5","2","5","5","4","4","5","5","5","5","5","4","5","4",0,0,"satisfied"
"Male","Loyal Customer",40,"Business travel","Business",1803,"4","4","4","4","2","5","4","4","4","5","4","4","4","4",0,0,"satisfied"
"Male","Loyal Customer",46,"Business travel","Business",3293,"2","4","4","4","2","4","3","2","2","2","2","1","2","3",0,5,"neutral or dissatisfied"
"Male","disloyal Customer",27,"Business travel","Eco",309,"3","2","3","3","4","3","2","4","3","2","3","1","2","4",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",25,"Business travel","Business",581,"2","5","5","5","2","2","2","2","4","5","3","4","3","2",74,87,"neutral or dissatisfied"
"Female","Loyal Customer",61,"Business travel","Business",2162,"2","2","2","2","4","4","3","2","2","2","2","4","2","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",53,"Business travel","Business",2355,"2","2","2","2","5","5","5","4","5","5","4","5","5","5",144,137,"satisfied"
"Female","Loyal Customer",53,"Business travel","Business",1855,"3","3","3","3","2","2","1","5","5","5","5","5","5","4",59,47,"satisfied"
"Female","Loyal Customer",17,"Business travel","Eco",677,"0","3","0","3","4","3","4","4","4","5","5","5","5","4",0,0,"satisfied"
"Male","disloyal Customer",40,"Business travel","Eco",259,"2","0","2","3","1","2","1","1","2","5","1","4","5","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",59,"Business travel","Business",2521,"2","2","2","2","5","5","5","5","5","5","5","5","5","5",0,0,"satisfied"
"Male","Loyal Customer",50,"Business travel","Eco",2342,"2","1","1","1","1","2","1","1","4","3","2","4","3","1",0,14,"neutral or dissatisfied"
"Female","Loyal Customer",32,"Personal Travel","Eco",752,"4","4","4","3","1","4","1","1","5","3","5","4","4","1",0,0,"satisfied"
"Male","disloyal Customer",26,"Business travel","Eco",550,"1","2","0","1","1","0","1","1","4","1","1","4","2","1",46,37,"neutral or dissatisfied"
"Male","Loyal Customer",66,"Personal Travel","Eco",997,"3","2","3","3","1","3","1","1","1","2","4","1","4","1",41,71,"neutral or dissatisfied"
"Male","Loyal Customer",32,"Personal Travel","Eco",337,"2","5","2","3","5","2","5","5","5","4","5","4","5","5",6,0,"neutral or dissatisfied"
"Male","Loyal Customer",37,"Business travel","Eco Plus",521,"4","5","5","5","4","4","4","4","5","3","1","5","1","4",0,0,"satisfied"
"Male","disloyal Customer",61,"Business travel","Business",321,"1","1","1","5","5","1","1","5","3","4","4","5","4","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",46,"Business travel","Eco",965,"4","4","3","4","4","4","4","4","3","4","5","3","3","4",6,0,"satisfied"
"Male","Loyal Customer",45,"Business travel","Eco Plus",1097,"4","3","3","3","4","4","4","4","3","1","5","4","2","4",156,161,"satisfied"
"Female","Loyal Customer",56,"Business travel","Eco Plus",605,"2","5","5","5","1","3","4","2","2","2","2","1","2","4",11,35,"neutral or dissatisfied"
"Male","Loyal Customer",22,"Personal Travel","Eco",184,"2","4","2","1","4","2","4","4","3","4","5","5","4","4",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",24,"Business travel","Business",1846,"3","5","5","5","3","3","3","3","3","4","4","2","3","3",0,8,"neutral or dissatisfied"
"Male","Loyal Customer",24,"Personal Travel","Eco",227,"2","5","2","3","3","2","3","3","5","4","4","4","5","3",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",56,"Business travel","Business",2507,"3","3","3","3","3","2","3","5","5","5","5","2","5","4",63,97,"satisfied"
"Female","Loyal Customer",43,"Business travel","Business",1488,"5","2","5","5","2","4","5","4","4","4","4","4","4","5",3,11,"satisfied"
"Female","Loyal Customer",53,"Business travel","Business",2342,"4","1","4","4","3","5","4","4","4","4","4","5","4","3",0,0,"satisfied"
"Female","Loyal Customer",38,"Personal Travel","Eco",909,"5","4","5","3","2","5","2","2","1","1","4","4","3","2",0,0,"satisfied"
"Male","Loyal Customer",46,"Personal Travel","Eco",261,"3","2","3","3","2","3","2","2","2","4","3","4","3","2",0,0,"neutral or dissatisfied"
"Female","Loyal Customer",31,"Personal Travel","Eco",2279,"1","5","1","2","3","1","3","3","5","3","5","3","5","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",43,"Business travel","Business",3146,"3","3","3","3","2","5","4","4","4","5","4","3","4","4",2,0,"satisfied"
"Female","Loyal Customer",59,"Business travel","Business",888,"1","1","1","1","5","4","5","5","5","4","5","3","5","3",0,0,"satisfied"
"Female","Loyal Customer",12,"Personal Travel","Eco",1660,"2","4","2","4","4","2","4","4","4","3","3","1","3","4",14,31,"neutral or dissatisfied"
"Female","Loyal Customer",37,"Personal Travel","Eco",510,"2","4","2","3","3","2","5","3","3","3","4","5","5","3",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",44,"Business travel","Business",1045,"3","3","3","3","4","5","5","5","5","5","5","3","5","4",0,0,"satisfied"
"Male","Loyal Customer",12,"Personal Travel","Eco",1011,"2","4","1","1","5","1","5","5","2","4","2","5","2","5",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",43,"Business travel","Business",1346,"4","4","4","4","2","4","5","4","4","4","4","5","4","3",0,0,"satisfied"
"Male","disloyal Customer",26,"Business travel","Business",719,"4","4","4","1","5","4","5","5","4","4","5","3","4","5",0,6,"satisfied"
"Female","Loyal Customer",24,"Personal Travel","Eco",2079,"1","3","1","3","5","1","5","5","4","4","2","1","4","5",5,0,"neutral or dissatisfied"
"Male","Loyal Customer",34,"Business travel","Business",826,"3","3","3","3","5","3","4","2","2","2","2","1","2","5",65,74,"satisfied"
"Female","Loyal Customer",58,"Business travel","Eco",679,"2","1","1","1","4","3","3","3","3","2","3","2","3","1",77,60,"neutral or dissatisfied"
"Male","Loyal Customer",20,"Personal Travel","Eco",991,"3","5","4","2","5","4","5","5","3","4","4","4","5","5",0,0,"neutral or dissatisfied"
"Male","disloyal Customer",27,"Business travel","Business",89,"2","2","2","4","1","2","1","1","5","3","5","3","5","1",0,0,"neutral or dissatisfied"
"Male","Loyal Customer",44,"Business travel","Business",3221,"4","4","4","4","3","4","1","2","2","2","2","3","2","5",0,0,"satisfied"
"Male","Loyal Customer",60,"Personal Travel","Eco",1024,"2","5","2","1","5","2","5","5","5","4","5","3","4","5",1,5,"neutral or dissatisfied"
"Female","Loyal Customer",57,"Business travel","Business",446,"1","1","1","1","3","5","4","5","5","5","5","4","5","5",17,9,"satisfied"
"Male","Loyal Customer",16,"Personal Travel","Eco",1009,"5","5","5","4","4","5","4","4","3","2","4","5","4","4",26,15,"satisfied"
"Male","disloyal Customer",26,"Business travel","Eco",1533,"3","3","3","3","2","3","5","2","1","3","4","4","4","2",0,0,"neutral or dissatisfied"
"Female","disloyal Customer",29,"Business travel","Eco",1016,"3","3","3","4","4","3","4","4","2","1","4","4","3","4",9,11,"neutral or dissatisfied"
"Male","Loyal Customer",40,"Business travel","Business",383,"4","4","5","4","5","5","4","5","5","5","5","3","5","4",0,0,"satisfied"
"Male","Loyal Customer",53,"Personal Travel","Eco",444,"2","5","3","3","4","3","4","4","3","2","4","4","4","4",68,104,"neutral or dissatisfied"
"Female","Loyal Customer",56,"Business travel","Business",2892,"2","2","2","2","5","4","4","2","2","2","2","4","2","3",34,24,"satisfied"
"Female","Loyal Customer",58,"Business travel","Business",1633,"2","1","5","1","3","4","3","2","2","2","2","3","2","2",84,113,"neutral or dissatisfied"
"Male","Loyal Customer",46,"Business travel","Eco",102,"4","5","5","5","4","4","4","4","5","2","2","5","2","4",4,8,"satisfied"
"Male","Loyal Customer",23,"Personal Travel","Eco",951,"1","3","1","3","4","1","4","4","2","5","4","2","4","4",1,0,"neutral or dissatisfied"
